tradition,label,file,modal_tok,seq_len_ec,n_micro,n_ornament
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi,Modal_WC_unknown,11144,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_02_Track02_wav.midi,Modal_WC_unknown,28563,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_05_Track05_wav.midi,Modal_WC_unknown,6093,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_17_R1_2004_01-03_ORIG_MID--AUDIO_17_R1_2004_06_Track06_wav.midi,Modal_WC_unknown,18512,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_SMF_22_R1_2004_01-04_ORIG_MID--AUDIO_22_R1_2004_03_Track03_wav.midi,Modal_WC_unknown,19848,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_06_R1_2004_01_ORIG_MID--AUDIO_06_R1_2004_01_Track01_wav.midi,Modal_WC_unknown,69119,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_06_R2_2004_01_ORIG_MID--AUDIO_06_R2_2004_01_Track01_wav.midi,Modal_WC_unknown,24190,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_08_R1_2004_04-06_ORIG_MID--AUDIO_08_R1_2004_04_Track04_wav.midi,Modal_WC_unknown,11650,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_02_Track02_wav.midi,Modal_WC_unknown,9700,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_14_R2_2004_01_ORIG_MID--AUDIO_14_R2_2004_01_Track01_wav.midi,Modal_WC_unknown,28221,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_03_Track03_wav.midi,Modal_WC_unknown,14974,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_15_R2_2004_01_ORIG_MID--AUDIO_15_R2_2004_04_Track04_wav.midi,Modal_WC_unknown,20173,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_18_R1_2004_01-02_ORIG_MID--AUDIO_18_R1_2004_04_Track04_wav.midi,Modal_WC_unknown,6996,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_20_R2_2004_01_ORIG_MID--AUDIO_20_R1_2004_03_Track03_wav.midi,Modal_WC_unknown,32913,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,Modal_WC_unknown,23139,0,0
western_classical,Western Classical,2004_MIDI-Unprocessed_XP_21_R1_2004_02_ORIG_MID--AUDIO_21_R1_2004_03_Track03_wav.midi,Modal_WC_unknown,22776,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_01_R2_2006_01_ORIG_MID--AUDIO_01_R2_2006_01_Track01_wav.midi,Modal_WC_unknown,22192,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_07_R1_2006_01-04_ORIG_MID--AUDIO_07_R1_2006_01_Track01_wav.midi,Modal_WC_unknown,29219,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_07_R2_2006_01_ORIG_MID--AUDIO_07_R2_2006_04_Track04_wav.midi,Modal_WC_unknown,26418,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_09_R1_2006_01-04_ORIG_MID--AUDIO_09_R1_2006_02_Track02_wav.midi,Modal_WC_unknown,44519,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_10_R1_2006_01-04_ORIG_MID--AUDIO_10_R1_2006_02_Track02_wav.midi,Modal_WC_unknown,34003,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_11_R1_2006_01-06_ORIG_MID--AUDIO_11_R1_2006_04_Track04_wav.midi,Modal_WC_unknown,21708,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_08_Track08_wav.midi,Modal_WC_unknown,8740,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_01_Track01_wav.midi,Modal_WC_unknown,71261,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_16_R2_2006_01_ORIG_MID--AUDIO_16_R2_2006_02_Track02_wav.midi,Modal_WC_unknown,8777,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_05_Track05_wav.midi,Modal_WC_unknown,56211,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.midi,Modal_WC_unknown,5059,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,Modal_WC_unknown,19183,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_22_R2_2006_01_ORIG_MID--AUDIO_22_R2_2006_04_Track04_wav.midi,Modal_WC_unknown,13955,0,0
western_classical,Western Classical,2006_MIDI-Unprocessed_23_R2_2006_01_ORIG_MID--AUDIO_23_R2_2006_01_Track01_wav.midi,Modal_WC_unknown,18961,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--1.midi,Modal_WC_unknown,8822,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,Modal_WC_unknown,15259,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--5.midi,Modal_WC_unknown,15193,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi,Modal_WC_unknown,10349,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--2.midi,Modal_WC_unknown,10272,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--4.midi,Modal_WC_unknown,16841,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_08_R3_2008_01-05_ORIG_MID--AUDIO_08_R3_2008_wav--2.midi,Modal_WC_unknown,41863,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_11_R1_2008_01-04_ORIG_MID--AUDIO_11_R1_2008_wav--1.midi,Modal_WC_unknown,7202,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_11_R3_2008_01-04_ORIG_MID--AUDIO_11_R3_2008_wav--4.midi,Modal_WC_unknown,34440,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_12_R3_2008_01-04_ORIG_MID--AUDIO_12_R3_2008_wav--1.midi,Modal_WC_unknown,26387,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_12_R3_2008_01-04_ORIG_MID--AUDIO_12_R3_2008_wav--2.midi,Modal_WC_unknown,21728,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--2.midi,Modal_WC_unknown,13954,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--2.midi,Modal_WC_unknown,23888,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--3.midi,Modal_WC_unknown,14394,0,0
western_classical,Western Classical,2008_MIDI-Unprocessed_15_R2_2008_01-04_ORIG_MID--AUDIO_15_R2_2008_wav--3.midi,Modal_WC_unknown,7889,0,0
western_classical,Western Classical,2009_MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_02_WAV.midi,Modal_WC_unknown,7811,0,0
western_classical,Western Classical,2009_MIDI-Unprocessed_04_R1_2009_01-03_ORIG_MID--AUDIO_04_R1_2009_04_R1_2009_02_WAV.midi,Modal_WC_unknown,26095,0,0
western_classical,Western Classical,2009_MIDI-Unprocessed_05_R1_2009_03-05_ORIG_MID--AUDIO_05_R1_2009_05_R1_2009_03_WAV.midi,Modal_WC_unknown,50662,0,0
western_classical,Western Classical,2009_MIDI-Unprocessed_06_R1_2009_03-07_ORIG_MID--AUDIO_06_R1_2009_06_R1_2009_03_WAV.midi,Modal_WC_unknown,3842,0,0
western_classical,Western Classical,2009_MIDI-Unprocessed_07_R2_2009_01_ORIG_MID--AUDIO_07_R2_2009_07_R2_2009_02_WAV.midi,Modal_WC_unknown,9935,0,0
